"year","id","hrs1","marital","childs","income","happy","ballot"
2000,190,"60","Never married","0","$25000 or more","No answer","Ballot b"
2000,191,"40","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,192,"25","Never married","0","$8000 to 9999","Pretty happy","Ballot a"
2000,193,"Not applicable","Divorced","1","$25000 or more","Pretty happy","Ballot c"
2000,194,"37","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,195,"40","Never married","0","$25000 or more","No answer","Ballot b"
2000,196,"40","Married","0","Refused","Pretty happy","Ballot a"
2000,197,"Not applicable","Never married","Eight or m","Lt $1000","Pretty happy","Ballot c"
2000,198,"Not applicable","Separated","4","$8000 to 9999","Pretty happy","Ballot a"
2000,199,"Not applicable","Never married","0","Lt $1000","Very happy","Ballot b"
2000,200,"Not applicable","Never married","2","$4000 to 4999","No answer","Ballot b"
2000,201,"35","Divorced","2","$10000 - 14999","Very happy","Ballot b"
2000,202,"23","Widowed","3","$6000 to 6999","Pretty happy","Ballot b"
2000,203,"Not applicable","Separated","3","Don't know","Pretty happy","Ballot a"
2000,204,"35","Married","2","$25000 or more","Very happy","Ballot c"
2000,205,"6","Married","3","$25000 or more","Pretty happy","Ballot a"
2000,206,"60","Separated","0","$25000 or more","No answer","Ballot b"
2000,207,"45","Divorced","1","$25000 or more","Pretty happy","Ballot c"
2000,208,"32","Divorced","0","$25000 or more","Very happy","Ballot b"
2000,209,"40","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,210,"Not applicable","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,211,"Not applicable","Married","0","$25000 or more","Pretty happy","Ballot c"
2000,212,"Not applicable","Married","1","$25000 or more","Very happy","Ballot a"
2000,213,"40","Married","2","$25000 or more","Very happy","Ballot a"
2000,214,"Not applicable","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,215,"47","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,216,"40","Never married","1","$8000 to 9999","Not too happy","Ballot c"
2000,217,"21","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,218,"Not applicable","Married","2","$25000 or more","Pretty happy","Ballot a"
2000,219,"50","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,220,"40","Separated","2","$25000 or more","No answer","Ballot b"
2000,221,"40","Married","1","$25000 or more","Very happy","Ballot c"
2000,222,"40","Never married","0","$25000 or more","Not too happy","Ballot b"
2000,223,"60","Married","2","$25000 or more","Pretty happy","Ballot c"
2000,224,"25","Never married","0","$25000 or more","Very happy","Ballot a"
2000,225,"Not applicable","Divorced","2","$25000 or more","Pretty happy","Ballot c"
2000,226,"40","Never married","0","Refused","Pretty happy","Ballot b"
2000,227,"Not applicable","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,228,"Not applicable","Never married","3","$25000 or more","Not too happy","Ballot c"
2000,229,"46","Married","1","$25000 or more","Pretty happy","Ballot c"
2000,230,"45","Married","2","$25000 or more","Pretty happy","Ballot c"
2000,231,"40","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,232,"72","Married","2","$25000 or more","Very happy","Ballot a"
2000,233,"Not applicable","Widowed","4","Don't know","Pretty happy","Ballot a"
2000,234,"40","Married","0","$25000 or more","Pretty happy","Ballot b"
2000,235,"Not applicable","Never married","0","$3000 to 3999","Pretty happy","Ballot c"
2000,236,"Not applicable","Divorced","2","$10000 - 14999","Pretty happy","Ballot a"
2000,237,"50","Married","4","$25000 or more","Not too happy","Ballot b"
2000,238,"40","Separated","0","$25000 or more","Very happy","Ballot a"
2000,239,"8","Married","2","$25000 or more","Very happy","Ballot b"
2000,240,"Not applicable","Married","1","$25000 or more","Pretty happy","Ballot b"
2000,241,"Not applicable","Married","3","$25000 or more","Very happy","Ballot c"
2000,242,"Not applicable","Widowed","3","$25000 or more","Pretty happy","Ballot b"
2000,243,"Not applicable","Married","2","$25000 or more","Not too happy","Ballot b"
2000,244,"Not applicable","Widowed","3","$4000 to 4999","Not too happy","Ballot a"
2000,245,"30","Married","2","$25000 or more","Very happy","Ballot c"
2000,246,"15","Never married","0","$20000 - 24999","Pretty happy","Ballot c"
2000,247,"40","Married","0","$25000 or more","Pretty happy","Ballot a"
2000,248,"40","Married","3","$10000 - 14999","Very happy","Ballot b"
2000,249,"40","Married","2","$25000 or more","Very happy","Ballot a"
2000,250,"39","Widowed","6","$20000 - 24999","Very happy","Ballot a"
2000,251,"Not applicable","Married","1","$25000 or more","Pretty happy","Ballot b"
2000,252,"45","Married","1","$25000 or more","Pretty happy","Ballot c"
2000,253,"Not applicable","Married","3","$25000 or more","Very happy","Ballot a"
2000,254,"Not applicable","Divorced","2","$8000 to 9999","Pretty happy","Ballot b"
2000,255,"70","Never married","0","$25000 or more","Pretty happy","Ballot b"
